video_id,mirror_video_id,video_title,syllabus_id,subject,chapter,lecturer,nepali_date,time,notes
AW72sHdWqQA,TCYFYX5QzMw,GK || ASHMAN SIR || 2083-02-13 || 6:30 AM,02.02.08,GK FOR ALL,नेपालको इतिहास Continue...,ASHMAN SIR,2083-02-13,6:30 AM,
xonxIKv7ceU,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-02-13 || 5:00AM,03.05.01,ACT,"AML ACT, 2064: GREYLIST RELATED",KRISHNA SIR,2083-02-13,5:00AM,
G7PB_wfChKA,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-02-12 || 5:00AM,03.00.00,ACT,Negotiable Instruments,KRISHNA SIR,2083-02-12,5:00AM,
_yzEbuGEgVY,,ECONOMICS|| TILAK SIR || 2083-02-11 || 9:00PM,04.02.07,ECONOMICS,GENERAL EQULIBRIUM / SYNTHESIS OF REAL SECTOR AND MONETARY SECTOR,TILAK SIR,2083-02-11,9:00PM,
_HyzXlWNHH4,mqxg4jGIYF4,GK || ASHMAN SIR || 2083-02-11 || 6:30 AM,02.02.07,GK FOR ALL,नेपालको इतिहास Continue...,ASHMAN SIR,2083-02-11,6:30 AM,
mxsDnRdgeXI,,ECONOMICS || TILAK SIR || 2083-0-2-10 || 9 :00 PM,04.02.06,ECONOMICS,SHIFT IN LM CURVE,TILAK SIR,2083-02-10,9:00PM,
K4CRB2KX8eM,,GK || SABIN SIR || 2083-02-10 || 8 :00 PM,05.03.03,GK FOR ALL,सुरक्षा परिषद्,SABIN SIR,2083-02-10,8:00PM,
Rns201q59-k,,GK || ASHMAN SIR || 2083-02-10 || 6:30 AM,02.02.07,GK,नेपालको आधुनिक इतिहास,ASHMAN SIR,2083-02-10,6:30 AM,
bXLxu_hpLQw,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-02-10 || 5:00AM,03.07.05-1,ACT,DIRECTIVE 1 (CAPITAL CONSERVATION BUFFER),KRISHNA SIR,2083-02-10,5:00AM,
o56mp8eF7C0,J755AEWcwxM,GK || ASHMAN SIR || 2083-02-09 || 6:00AM,02.02.06,GK FOR ALL,नेपालको इतिहास (मल्लकालीन),ASHMAN SIR,2083-02-09,6:00AM,
Hce41Aa2IdY,,ECONOMICS || NRB OFFICER ENGLSH || TILAK SIR || 2083-02-08 || 9:00PM,04.02.05,ECONOMICS,DERIVATION OF LM CURVE,TILAK SIR,2083-02-08,9:00PM,
Xdjg3UDIQoA,,GK || ASHMAN SIR || 2083-02-08 || 6:30AM,02.02.05,GK FOR ALL,नेपालको इतिहास (राजतन्त्र),ASHMAN SIR,2083-02-08,6:30AM,
BzKWl_KPOX4,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-02-08 || 5:00AM,03.07.04,ACT,DIRECTIVE : 4,KRISHNA SIR,2083-02-08,5:00AM,
SKJMbA5SfPA,,|| ECONOMICS || NRB OFFICER || ENGLISH MEDIUM || TILAK SIR || 2083-02-07 || 9:00PM,04.02.04,ECONOMICS,SHIFT IN THE IS CURVE,TILAK SIR,2083-02-07,9:00PM,
48IAUjFf5JQ,,GK || SABIN SIR || 2083-02-07 || 8:00PM,05.03.01,GK FOR ALL,अन्तराष्ट्रिय संघ संस्था,SABIN SIR,2083-02-07,8:00PM,
Os5gyGAQqTo,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-02-07 || 5:00AM,03.07.03,ACT,DIRECTIVE : 3,KRISHNA SIR,2083-02-07,5:00AM,
y3QAbvESRfE,PwtUSCJ_mI0,नेपालका हिमालहरु पूर्व - पश्चिम ||GK || SABIN SIR || 2083-02-06 || 8:00PM,01.02.08,GK FOR ALL,नेपालका हिमालहरु पूर्वपूर्व-पश्चिम,SABIN SIR,2083-02-06,8:00PM,
lqFmjzJfFC0,q-d68AXjo4E,GK || ASHMAN SIR || 2083-02-06 || 6:30AM,02.02.04,GK FOR ALL,History of Nepal: Lichhchhbhikali Samayaka Nikayaharu,ASHMAN SIR,2083-02-06,6:30AM,
y41LVxX5SnQ,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-02-06 || 5:00AM,03.07.02,ACT,DIRECTIVE : 2,KRISHNA SIR,2083-02-06,5:00AM,
